property_id,bank_name,branch_name,city,district,state,pincode,property_type,property_sub_type,ownership,deed_name,reserve_price,emd,address,summary_desc,possession,nearest_location,bidding_url,ao_detail,acres
BARB104220200001,BANK OF BARODA,"COLVALE, NORTH GOA",MAPUSA,NORTH GOA,GOA,403507,COMMERCIAL,SHOPS,FREEHOLD,REGISTERED SALE DEED,1310000,131000,Shop No S 2 ground floor Greenland Estate Mapusa Bardez Taluka Goa,GREENLAND ESTATE constructed in the property under Property under Chalta No 27 of P.T Sheet no 42,SARFAESI PHYSICAL,MAPUSA,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=BARB104220200001,Kunda Anand Mandrekar (9423312020),
MAHB40008830582,BANK OF MAHARASHTRA,PANAJI BRANCH (GOA),RAIBANDAR,NORTH GOA,GOA,403006,RESIDENTIAL,FLAT 2BHK,FREEHOLD,REGISTERED SALE DEED,NA,0,2BHK FLAT NO 401 River View Residency Parking Lot No. 6 on land bearing  Raibandar Panaji,2BHK FLAT NO 401 River View Residency RAIBANDAR,SARFAESI PHYSICAL,RAIBANDAR,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=MAHB40008830582,SANTOSH KUMAR (7903605094),
MAHB140008830582,BANK OF MAHARASHTRA,KUMBHARJUA,RAIBANDAR,NORTH GOA,GOA,403006,RESIDENTIAL,FLAT 2BHK,FREEHOLD,REGISTERED SALE DEED,NA,0,APARTMENT NO 401  FOURTH FLOOR RIVERVIEW RESIDENCY RIBANDER NORTH GOA GOA,APARTMENT NO 401  FOURTH FLOOR RIVERVIEW RESIDENCY RIBANDER,SARFAESI PHYSICAL,KARMALI,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=MAHB140008830582,SANTOSH KUMAR (7903605094),
MAHB110051408754,BANK OF MAHARASHTRA,PANAJI BRANCH (GOA),BICHOLIM,NORTH GOA,GOA,403504,RESIDENTIAL,INDIVIDUAL HOUSE,FREEHOLD,REGISTERED SALE DEED,NA,0,PLOT NO 9 SHILPA ESTATES PART OF PLOT A BORDEM BICHOLIM GOA,PLOT NO 9 SHILPA ESTATES PART OF PLOT A BORDEM BICHOLIM,SARFAESI PHYSICAL,THIVIM RLY STN,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=MAHB110051408754,SANTOSH KUMAR (7903605094),
MAHB10010418013,BANK OF MAHARASHTRA,"PORVORIM, PANAJI, GOA",SOCORRO PANCHAYAT,NORTH GOA,GOA,403521,RESIDENTIAL,PLOT RESIDENTIAL,FREEHOLD,REGISTERED SALE DEED,NA,0,PLOT SUR NO 401 BY 2 ADMEASURING 1000 SQ MTR SOCORRO BARDEZ GOA,PLOT SUR NO 401 BY 2 ADMEASURING 1000 SQ MTR SOCORRO BARDEZ GOA,SARFAESI SYMBOLIC,VADAKADE PORVORIM  BUS STAND,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=MAHB10010418013,SANTOSH KUMAR (7903605094),0.25
CORP1569,UNION BANK OF INDIA,CALANGUTE,BARDEZ,NORTH GOA,GOA,403516,RESIDENTIAL,FLAT OTHERS,FREEHOLD,REGISTERED SALE DEED,3200000,320000,"FLAT NO.F5&F7, “F”,  LANDSCAPE ROYAL III, PRABHU WADO, CALANGUTE GOA-403516","FLATNO.F5&F7, 1ST FLOOR,“F”, SY.NO. 189/9 AND 189/13, CALANGUTE VILLAGE,LANDSCAPE ROYAL III,PRABHU WADO,CALANGUTE GOA-403516",SARFAESI SYMBOLIC, , ,NA (-),
MAHB010010418013,BANK OF MAHARASHTRA,"PORVORIM, PANAJI, GOA",SOCORRO BARDEZ NORTH GOA,NORTH GOA,GOA,403101,RESIDENTIAL,PLOT RESIDENTIAL,FREEHOLD,REGISTERED SALE DEED,NA,0,"property known as “Gollo” situated at Village Soccorro of Bardez Taluka, Goa",of Land admeasuring 1000 sq. mts. Surveyed under Survey No. 401 BY 2 part AT SOCORRO,SARFAESI PHYSICAL,BEHIND SOCORRO GARDEN,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=MAHB010010418013,SANTOSH KUMAR (7903605094),0.25
MAHB10051408754,BANK OF MAHARASHTRA,PANAJI BRANCH (GOA),BICHOLEM BORDEM,NORTH GOA,GOA,403504,RESIDENTIAL,INDIVIDUAL HOUSE,FREEHOLD,REGISTERED SALE DEED,NA,0,"PLOT NO 9, FORMING PART OF PLOT A SURVEY NO 7BY10 BORDEM BICHOLIM NORTH GOA SHSTIVADO",Plot No. 9 admeasuring 302.00 sq. mts,SARFAESI PHYSICAL,BORDEM,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=MAHB10051408754,SANTOSH KUMAR (7903605094),0.07
MAHB40054953699,BANK OF MAHARASHTRA,"MARGAO, GOA",CALATA MAJORDA UTORDA,SOUTH GOA,GOA,403713,RESIDENTIAL,PLOT RESIDENTIAL,FREEHOLD,REGISTERED SALE DEED,NA,0,"“BEBEMPEDDA METADE DE NASCENTE”, Majorda, Calata-Majorda-Utorda, Taluka fSalcete, Mormugao,a",BEBEMPEDDA METADE DE NASCENTE  Majorda Calata Majorda Utorda Salcete Mormugao GOA  REVENUE OFF NO. 277 and S NO. 143 BY 2,SARFAESI PHYSICAL,NEAREST RLY STN MARJODA,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=MAHB40054953699,SANTOSH KUMAR (7903605094),
BARB612620200131,BANK OF BARODA,,SALECETE,SOUTH GOA,GOA,403103,RESIDENTIAL,INDIVIDUAL HOUSE,FREEHOLD,REGISTERED SALE DEED,7100000,710000,"PATVATE, Township ,  St. Jose De Areal Village, Taluka and , District of South Goa,  Goa","Residential House on Plot No. F-3, H.No. 723 BY B, Situated at Sonum Township at St. Jose De Areal of the property known as GANEABATA",SARFAESI SYMBOLIC, ,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=BARB612620200131,Manoj Kumar (6264836668),
BARB612620200130,BANK OF BARODA,,SALECETE,SOUTH GOA,GOA,403103,RESIDENTIAL,PLOT RESIDENTIAL,FREEHOLD,REGISTERED SALE DEED,7591500,759150,"Survey No. 73  of Sao Jose De Areal Village Taluka and District of South Goa,  Goa","Plot No. -53 of the property known as- Mola De Agali or Molla De Care Gally or Bobaul, situated at Sao Jose De Areal,Area of Plot - 3124.00 Sq. Mtrs",SARFAESI PHYSICAL, ,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=BARB612620200130,Manoj Kumar (6264836668),0.77
BARB612620200132,BANK OF BARODA,,Quepem,SOUTH GOA,GOA,403705,RESIDENTIAL,FLAT 2BHK,FREEHOLD,REGISTERED SALE DEED,2907000,290700,"village of Amona, , Taluka and Sub District of Quepem, District of South Goa and State Goa","Flat No. SF-07, Second Floor of the Building - GULMOHAR, Which is constructed in the property known as CAREAVOL alias KEREWAL",SARFAESI SYMBOLIC, ,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=BARB612620200132,Manoj Kumar (6264836668),
BARB612620200133,BANK OF BARODA,,Quepem,SOUTH GOA,GOA,403705,RESIDENTIAL,FLAT 2BHK,FREEHOLD,REGISTERED SALE DEED,3146000,314600,"village of Amona, Taluka and Sub District of Quepem, District of South Goa and State Goa","Flat No. SF-08, Second Floor of the Building - GULMOHAR, Which is constructed in the property known as CAREAVOL alias KEREWAL",SARFAESI SYMBOLIC, ,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=BARB612620200133,Manoj Kumar (6264836668),
MAHB040054953699,BANK OF MAHARASHTRA,"MARGAO, GOA",CALATA MAJORDA UTORDA SALCETE,SOUTH GOA,GOA,403713,RESIDENTIAL,PLOT RESIDENTIAL,FREEHOLD,REGISTERED SALE DEED,NA,0,Plot No D2 admeasuring 1169 BEBEMPEDDA METADE DE NASCENTE  Calata-Majorda-Utorda Salcete South Goa,Plot No D2 admeasuring 1169 sq mtr known as BEBEMPEDDA METADE DE NASCENTE,SARFAESI PHYSICAL,Majorda,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=MAHB040054953699,SANTOSH KUMAR (7903605094),0.29
PUNB-8762-74,PUNJAB NATIONAL BANK,ARMB PUNE,ALIBAUG,RAIGARH,MAHARASHTRA,402201,INDUSTRIAL,INDUSTRIAL SHED,FREEHOLD,REGISTERED SALE DEED,NA,1,"GAT NO. 12, 15, VILLAGE TALASHET, TALUKA- ALIBAUG",ALL THAT PIECE AND PARCEL OF LAND,SARFAESI PHYSICAL,RAIGARH DISTRICT,https://www.mstcecommerce.com/auctionhome/ibapi/index.jsp?property_id=PUNB-8762-74,VIRENDRA KUMAR SINGH (9589041974),
